SYMBOL,FC_vs_Naive
Sdha,-3.06
Eef2,-3.11
Ptk9l,-3.18
Stk38,-3.25
Klf3,-3.67
Itgb7,-3.70
A630038E17Rik,-11.67
D10Wsu52e,-3.02
Adh5,-3.02
Ephb4,-3.14
4833420G17Rik,-3.52
Acas2l,-3.64
Nfe2l2,-3.79
Emb,-4.40
Iap,-4.40
LOC280487,-4.99
Satb1,-5.85
Iap11-1,-6.51
Iap(II-3),-6.51
Erdr1,-7.38
Dgka,-7.45
