"SYMBOL"
"DDX58"
"EIF2AK2"
"ETV7"
"IFIT2"
"IFIT3"
"OAS2"
"OAS3"
"PGAP1"
"PML"
"RSAD2"
"SPATS2L"
"STAT1"
"STAT2"
"XAF1"
