"SYMBOL"
"ANXA1"
"BIRC3"
"CD44"
"CD47"
"CLEC2D"
"CYSLTR1"
"HIVEP2"
"MALT1"
"NUDT4"
"OAS3"
"RAPGEF6"
"STK17B"
