"MGI.symbol","SYMBOL"
"Ccl3","CCL3"
"Ccl3","CCL18"
"Ccl3","CCL3L3"
"Ccl3","CCL3L1"
"Ptpn13","PTPN13"
"Ccl4","CCL4"
"Ccl4","CCL4L2"
"Nfatc1","NFATC1"
"Pbx3","PBX3"
"Serpina3g","SERPINA3"
"Entpd1","ENTPD1"
"Eomes","EOMES"
"Tnfrsf9","TNFRSF9"
"Car2","CA2"
"Ctla4","CTLA4"
"Casp3","CASP3"
"Coch","COCH"
"Lag3","LAG3"
"Ptger4","PTGER4"
"Trim47","TRIM47"
"Nr4a2","NR4A2"
"Sh2d2a","SH2D2A"
"Gas2","GAS2"
"Ier5","IER5"
"Rgs16","RGS16"
"Pdcd1","PDCD1"
"Cd160","CD160"
"Isg20","ISG20"
