SYMBOL
ANKRD22
BRCA2
CMPK2
CXCL10
CXCL11
DDX58
DDX60
DHX58
DTX3L
EIF2AK2
EPSTI1
ETV7
FAM70A
HERC5
HERC6
HMCN2
IFI35
IFI44
IFI44L
IFIH1
IFIT1
IFIT2
IFIT3
IFIT5
IRF7
ISG15
ISG20
LAMP3
LAP3
LGALS3BP
LY6E
MX1
MX2
NEXN
OAS1
OAS2
OAS3
OASL
OTOF
PARP12
PARP9
PGAP1
PML
PNPT1
RGL1
RP11-445H22.3
RP4-697K14.7
RSAD2
SAMD9L
SIGLEC1
SPATS2L
STAT1
STAT2
USP18
USP41
XAF1
